Cidade;n;m;k_avg;edge_length_total;edge_length_avg;streets_per_node_avg;streets_per_node_counts;streets_per_node_proportions;intersection_count;street_length_total;street_segment_count;street_length_avg;circuity_avg;self_loop_proportion;node_density_km;intersection_density_km;edge_density_km;street_density_km;0 way_int_count;1 way_int_count;2 way_int_count;3 way_int_count;4 way_int_count;5 way_int_count;6 way_int_count;7 way_int_count;8 way_int_count;0 way_int_prop;1 way_int_prop;2 way_int_prop;3 way_int_prop;4 way_int_prop;5 way_int_prop;6 way_int_prop;7 way_int_prop;8 way_int_prop
São Luís;32324;83061;5,139277317163717;7581175,643999965;91,272385885072;2,8792228684568744;{0: 0, 1: 4543, 2: 73, 3: 22546, 4: 5073, 5: 86, 6: 2, 7: 1};{0: 0.0, 1: 0.1405457245390422, 2: 0.0022583838633832448, 3: 0.6975003093676525, 4: 0.15694221012250958, 5: 0.002660561811656973, 6: 6.187353050365054e-05, 7: 3.093676525182527e-05};27781;4145398,239000004;46478;89,19054690391161;1,0690548900468375;0,00352855114247601;38,825525721998304;33,36876407879083;9106,02431534178;4979,1877848107015;0;4543;73;22546;5073;86;2;1;0;0,0;0,1405457245390422;0,0022583838633832448;0,6975003093676525;0,15694221012250958;0,002660561811656973;6,187353050365054e-05;3,093676525182527e-05;0,0
Teresina;33266;90908;5,465520351109241;10241980,251000086;112,66313471861757;3,041904647387723;{0: 0, 1: 3840, 2: 19, 3: 20359, 4: 9008, 5: 36, 6: 3, 7: 1};{0: 0.0, 1: 0.11543317501352733, 2: 0.0005711537305356821, 3: 0.6120062526303133, 4: 0.2707869897192329, 5: 0.0010821860157518186, 6: 9.018216797931822e-05, 7: 3.006072265977274e-05};29426;5540584,705000028;50563;109,5778475367369;1,04110034695635;0,00120641575855863;23,781885604634475;21,036667041483017;7321,998517832307;3960,9677038747705;0;3840;19;20359;9008;36;3;1;0;0,0;0,11543317501352733;0,0005711537305356821;0,6120062526303133;0,2707869897192329;0,0010821860157518186;9,018216797931822e-05;3,006072265977274e-05;0,0
Aracajú;18184;45036;4,953365596128465;3518264,7579999813;78,12116435740255;2,8892432908051036;{0: 0, 1: 2429, 2: 40, 3: 12866, 4: 2817, 5: 30, 6: 1, 7: 1};{0: 0.0, 1: 0.13357897052353718, 2: 0.002199736031676199, 3: 0.7075450945886493, 4: 0.15491641003079631, 5: 0.0016498020237571492, 6: 5.4993400791904974e-05, 7: 5.4993400791904974e-05};15755;2019308,187000013;26254;76,91430589624487;1,0528152916160127;0,0022472766054696426;97,57373449230428;84,53993548868533;18878,697281715868;10835,428997826419;0;2429;40;12866;2817;30;1;1;0;0,0;0,13357897052353718;0,002199736031676199;0,7075450945886493;0,15491641003079631;0,0016498020237571492;5,4993400791904974e-05;5,4993400791904974e-05;0,0
Ribeirão Preto;28323;67719;4,7819086961126995;7495406,574000052;110,68395242103475;2,9745436570984713;{0: 0, 1: 3707, 2: 58, 3: 17882, 4: 6606, 5: 65, 6: 5};{0: 0.0, 1: 0.1308830279278325, 2: 0.002047805670303287, 3: 0.6313596723510928, 4: 0.23323800444868129, 5: 0.0022949546305123044, 6: 0.00017653497157786956};24616;4432890,718999996;42117;105,2518156326423;1,0565521665221416;0,004036374860507634;43,48538293582603;37,79388434658382;11507,983798683053;6805,986316011157;0;3707;58;17882;6606;65;5;0;0;0,0;0,1308830279278325;0,002047805670303287;0,6313596723510928;0,23323800444868129;0,0022949546305123044;0,00017653497157786956;0,0;0,0
João Pessoa;20750;56038;5,401253012048193;4819275,082000007;86,00012637852898;3,0042409638554215;{0: 0, 1: 1848, 2: 36, 3: 15077, 4: 3761, 5: 25, 6: 3};{0: 0.0, 1: 0.08906024096385542, 2: 0.0017349397590361445, 3: 0.7266024096385543, 4: 0.18125301204819277, 5: 0.0012048192771084338, 6: 0.00014457831325301204};18902;2656558,956000001;31151;85,28005380244619;1,0453661159639591;0,0017655933998908541;98,31371262403005;89,5578696876827;22833,77472134446;12586,803555131442;0;1848;36;15077;3761;25;3;0;0;0,0;0,08906024096385542;0,0017349397590361445;0,7266024096385543;0,18125301204819277;0,0012048192771084338;0,00014457831325301204;0,0;0,0
São Paulo;193585;476547;4,923387659167807;36766696,356000155;77,15229842177195;2,858083012630111;{0: 0, 1: 29371, 2: 360, 3: 132765, 4: 30580, 5: 480, 6: 27, 7: 2};{0: 0.0, 1: 0.1517214660226774, 2: 0.0018596482165457034, 3: 0.6858227651935842, 4: 0.1579667846165767, 5: 0.0024795309553942713, 6: 0.00013947361624092776, 7: 1.0331378980809464e-05};164214;20896471,808999833;276447;75,58943236497352;1,0578125879775384;0,0018303689314769197;127,09319773419341;107,81043145245157;24138,21840538356;13719,035170949268;0;29371;360;132765;30580;480;27;2;0;0,0;0,1517214660226774;0,0018596482165457034;0,6858227651935842;0,1579667846165767;0,0024795309553942713;0,00013947361624092776;1,0331378980809464e-05;0,0
Guarulhos;26113;64532;4,942519051813273;5692870,33999997;88,21778869398082;2,7980316317542986;{0: 0, 1: 4240, 2: 55, 3: 18589, 4: 3200, 5: 26, 6: 3};{0: 0.0, 1: 0.1623712327193352, 2: 0.0021062306131045838, 3: 0.711867652127293, 4: 0.12254432658063033, 5: 0.0009956726534676216, 6: 0.00011488530616934095};21873;3164030,4119999832;36501;86,68338982493584;1,0760340562329551;0,00350675323963727;81,71479248535103;68,4466608980999;17814,56433497137;9901,125436905693;0;4240;55;18589;3200;26;3;0;0;0,0;0,1623712327193352;0,0021062306131045838;0,711867652127293;0,12254432658063033;0,0009956726534676216;0,00011488530616934095;0,0;0,0
São Caetano do Sul;2907;6663;4,584107327141383;484789,097999999;72,75838180999534;3,0973512211902303;{0: 0, 1: 206, 2: 5, 3: 2004, 4: 685, 5: 6, 6: 1};{0: 0.0, 1: 0.07086343309253526, 2: 0.0017199862401100791, 3: 0.6893704850361198, 4: 0.23563811489508085, 5: 0.0020639834881320948, 6: 0.0003439972480220158};2701;322164,32599999884;4475;71,99202815642433;1,0358587555554397;0,0022346368715083797;189,84609155655284;176,39294574965572;31659,895247515127;21039,435201255907;0;206;5;2004;685;6;1;0;0;0,0;0,07086343309253526;0,0017199862401100791;0,6893704850361198;0,23563811489508085;0,0020639834881320948;0,0003439972480220158;0,0;0,0
Diadema;5861;14444;4,928851731786384;1059658,8560000001;73,36325505400167;2,8334755161235283;{0: 0, 1: 836, 2: 18, 3: 4306, 4: 688, 5: 13};{0: 0.0, 1: 0.14263777512369902, 2: 0.0030711482682136155, 3: 0.7346869134959905, 4: 0.11738611158505374, 5: 0.002218051527043167};5025;598855,8169999975;8250;72,58858387878757;1,0635633133747264;0,0030303030303030303;190,00568823459486;162,90369960396504;34352,706061792094;19414,095147990975;0;836;18;4306;688;13;0;0;0;0,0;0,14263777512369902;0,0030711482682136155;0,7346869134959905;0,11738611158505374;0,002218051527043167;0,0;0,0;0,0
Santo André;14754;36401;4,934390673715603;2567522,4729999914;70,53439391774927;2,9779720753693915;{0: 0, 1: 1580, 2: 21, 3: 10369, 4: 2715, 5: 66, 6: 3};{0: 0.0, 1: 0.10708960281957436, 2: 0.0014233428222854819, 3: 0.7027924630608648, 4: 0.184017893452623, 5: 0.004473363155754371, 6: 0.00020333468889792598};13174;1490506,689999991;21895;68,0752084950898;1,0515448658922846;0,0019182461749257822;84,65488231271426;75,58922458910789;14731,822745497042;8552,166763471772;0;1580;21;10369;2715;66;3;0;0;0,0;0,10708960281957436;0,0014233428222854819;0,7027924630608648;0,184017893452623;0,004473363155754371;0,00020333468889792598;0,0;0,0
