cod_IBGE;regiao;uf;municipio;municipio_semacento;municipio_formatado;uf_completo;País
2111300;NE;MA;SAO LUIS;Sao Luis;São Luís;Maranhão;Brasil
2211001;NE;PI;TERESINA;Teresina;Teresina;Piauí;Brasil
2800308;NE;SE;ARACAJU;Aracaju;Aracajú;Sergipe;Brasil
3543402;SE;SP;RIBEIRAO PRETO;Ribeirao Preto;Ribeirão Preto;São Paulo;Brasil
2507507;NE;PB;JOÃO PESSOA;Joao Pessoa;João Pessoa;Paraíba;Brasil
3550308;SE;SP;SÃO PAULO;Sao Paulo;São Paulo;São Paulo;Brasil
3518800;SE;SP;GUARULHOS;Guarulhos;Guarulhos;São Paulo;Brasil
3548807;SE;SP;SÃO CAETANO DO SUL;Sao Caetano do Sul;São Caetano do Sul;São Paulo;Brasil
3513801;SE;SP;DIADEMA;Diadema;Diadema;São Paulo;Brasil
3547809;SE;SP;SANTO ANDRÉ;Santo Andre;Santo André;São Paulo;Brasil
3510609;SE;SP;CARAPICUÍBA;Carapicuiba;Carapicuíba;São Paulo;Brasil
4214300;S;SC;RANCHO QUEIMADO;Rancho Queimado;Rancho Queimado;Santa Catarina;Brasil
3516408;SE;SP;FRANCO DA ROCHA;Franco da Rocha;Franco da Rocha;São Paulo;Brasil
4200903;S;SC;ANGELINA;Angelina;Angelina;Santa Catarina;Brasil
4201109;S;SC;ANITÁPOLIS;Anitapolis;Anitápolis;Santa Catarina;Brasil
3534401;SE;SP;OSASCO;Osasco;Osasco;São Paulo;Brasil
3505708;SE;SP;BARUERI;Barueri;Barueri;São Paulo;Brasil
3547304;SE;SP;SANTANA DE PARNAÍBA;Santana de Parnaiba;Santana de Parnaíba;São Paulo;Brasil
1302603;N;AM;MANAUS;Manaus;Manaus;Amazonas;Brasil
4215901;S;SC;SÃO BONIFÁCIO;São Bonifacio;São Bonifácio;Santa Catarina;Brasil
3205309;SE;ES;VITORIA;Vitoria;Vitória;Espírito Santo;Brasil
2927408;NE;BA;SALVADOR;Salvador;Salvador;Bahia;Brasil
3106200;SE;MG;BELO HORIZONTE;Belo Horizonte;Belo Horizonte;Minas Gerais;Brasil
4106902;S;PR;CURITIBA;Curitiba;Curitiba;Paraná;Brasil
4314902;S;RS;PORTO ALEGRE;Porto Alegre;Porto Alegre;Rio Grande do Sul;Brasil
4205407;S;SC;FLORIANOPOLIS;Florianopolis;Florianópolis;Santa Catarina;Brasil
4211900;S;SC;PALHOÇA;Palhoça;Palhoça;Santa Catarina;Brasil
2910800;NE;BA;FEIRA DE SANTANA;Feira de Santana;Feira de Santana;Bahia;Brasil
4216602;S;SC;SÃO JOSÉ;Sao Jose;São José;Santa Catarina;Brasil
4200606;S;SC;ÁGUAS MORNAS;Aguas Mornas;Águas Mornas;Santa Catarina;Brasil
4201208;S;SC;ANTÔNIO CARLOS;Antonio Carlos;Antônio Carlos;Santa Catarina;Brasil
3530607;SE;SP;MOGI DAS CRUZES;Mogi das Cruzes;Mogi das Cruzes;São Paulo;Brasil
4202305;S;SC;BIGUAÇU;Biguaçu;Biguaçu;Santa Catarina;Brasil
4206009;S;SC;GOVERNADOR CELSO RAMOS;Governador Celso Ramos;Governador Celso Ramos;Santa Catarina;Brasil
4215703;S;SC;SANTO AMARO DA IMPERATRIZ;Santo Amaro da Imperatriz;Santo Amaro da Imperatriz;Santa Catarina;Brasil
4217253;S;SC;SÃO PEDRO DE ALCÂNTARA;São Pedro de Alcantara;São Pedro de Alcântara;Santa Catarina;Brasil
3509502;SE;SP;CAMPINAS;Campinas;Campinas;São Paulo;Brasil
1501402;N;PA;BELEM;Belem;Belém;Pará;Brasil
4101804;S;PR;ARAUCÁRIA;Araucaria;Araucária;Paraná;Brasil
4107652;S;PR;FAZENDA RIO GRANDE;Fazenda Rio Grande;Fazenda Rio Grande;Paraná;Brasil
3205200;SE;ES;VILA VELHA;Vila Velha;Vila Velha;Espírito Santo;Brasil
2609600;NE;PE;OLINDA;Olinda;Olinda;Pernambuco;Brasil
4313409;S;RS;NOVO HAMBURGO;Novo Hamburgo;Novo Hamburgo;Rio Grande do Sul;Brasil
2905701;NE;BA;CAMAÇARI;Camacari;Camaçari;Bahia;Brasil
4304606;S;RS;CANOAS;Canoas;Canoas;Rio Grande do Sul;Brasil
4316907;S;RS;SANTA MARIA;Santa Maria;Santa Maria;Rio Grande do Sul;Brasil
4314407;S;RS;PELOTAS;Pelotas;Pelotas;Rio Grande do Sul;Brasil
4319901;S;RS;SAPIRANGA;Sapiranga;Sapiranga;Rio Grande do Sul;Brasil
